"drop_id","lat","lon","depth","n_label","n_sg","n_ma","n_sa","n_other","top","top_n","top2","top2_n","sg_pct","ma_pct","sa_pct","sg_pa","ma_pa","sa_pa","top_pct","top2_pct","dom_spp"
"FI_1",-40.243378,147.924458,28.98999977,86,1,0,82,3,"Tube worms",3,"Halophila spp",1,0.0116279069767442,0,0.953488372093023,0,0,1,0.0348837209302326,0.0116279069767442,0
"FI_100",-40.193065,147.902605,16.86000061,86,86,0,0,0,"Posidonia australis",86,"",0,1,0,0,1,0,0,1,0,1
"FI_101",-40.313739,148.486521,27.03000069,74,0,0,74,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_104",-40.340515,148.092423,1.75,91,86,5,0,0,"Amphibolis antarctica",55,"Posidonia australis",31,0.945054945054945,0.0549450549450549,0,1,1,0,0.604395604395604,0.340659340659341,2
"FI_105",-40.269011,148.13254,-0.349999994,54,54,0,0,0,"Posidonia australis",36,"Zostera spp",18,1,0,0,1,0,0,0.666666666666667,0.333333333333333,1
"FI_106",-40.510432,148.366032,20.47999954,65,1,0,64,0,"Posidonia australis",1,"",0,0.0153846153846154,0,0.984615384615385,0,0,1,0.0153846153846154,0,1
"FI_107",-40.456554,148.49768,21.71999931,70,0,0,70,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_109",-40.282374,147.993908,14.05000019,80,7,71,0,2,"Foliose",38,"Caulerpa cactoides",33,0.0875,0.8875,0,1,1,0,0.475,0.4125,0
"FI_11",-40.487839,148.059335,19.32999992,71,2,0,69,0,"Halophila spp",1,"Posidonia australis",1,0.028169014084507,0,0.971830985915493,0,0,1,0.0140845070422535,0.0140845070422535,0
"FI_110",-40.47757,148.212786,26.51000023,69,0,0,69,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_111",-40.31679,148.125193,8.020000458,66,56,8,0,2,"Posidonia australis",56,"Foliose",7,0.848484848484849,0.121212121212121,0,1,1,0,0.848484848484849,0.106060606060606,1
"FI_112",-40.262886,148.241773,11.32999992,73,15,7,50,1,"Posidonia australis",15,"Sargassum spp",5,0.205479452054795,0.0958904109589041,0.684931506849315,1,1,1,0.205479452054795,0.0684931506849315,1
"FI_115",-40.289934,148.437063,23.30999947,67,0,62,5,0,"Ecklonia radiata",50,"Foliose",10,0,0.925373134328358,0.0746268656716418,0,1,1,0.746268656716418,0.149253731343284,0
"FI_116",-40.271752,148.378752,5.760000229,69,6,1,62,0,"Posidonia australis",6,"Foliose",1,0.0869565217391304,0.0144927536231884,0.898550724637681,1,0,1,0.0869565217391304,0.0144927536231884,1
"FI_118",-40.459711,148.108692,4.150000095,80,79,0,1,0,"Posidonia australis",79,"",0,0.9875,0,0.0125,1,0,0,0.9875,0,1
